gameDate,player1Odds,player2Odds,playersNames,score,tournamentName
06 Jan 2014,1.30,1.30,Montgomery R. - Meaney M.,3:2,BDO World Championship 2014 Results & Historical Odds
26 Oct 2013,1.35,1.35,Huybrechts K. - Jones W.,6:5,European Tour 8 2013 Results & Historical Odds
26 Oct 2013,1.69,1.69,Mansell M. - Vos G.,6:2,European Tour 8 2013 Results & Historical Odds
06 Jan 2014,1.29,1.29,de Vos G. - Razma M.,3:1,BDO World Championship 2014 Results & Historical Odds
06 Jan 2014,2.06,1.69,Geerdink J. - Prins D.,0:3,BDO World Championship 2014 Results & Historical Odds
26 Oct 2013,3.48,3.48,Barnard M. - Painter K.,6:4,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.22,1.22,Whitlock S. - Johnson D.,6:1,European Tour 8 2013 Results & Historical Odds
06 Jan 2014,1.52,1.52,Dekker J. - van de Pas B.,3:0,BDO World Championship 2014 Results & Historical Odds
06 Jan 2014,2.51,1.50,Sedlacek K. - Hogan P.,1:3,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.50,1.50,Huybrechts K. - Winstanley D.,6:2,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.30,3.39,Part J. - Campbell J.,3:6,European Tour 8 2013 Results & Historical Odds
06 Jan 2014,1.44,2.71,Fitton D. - Eccles T.,1:3,BDO World Championship 2014 Results & Historical Odds
05 Jan 2014,1.54,2.37,Van Eijden R. - Hofstra R.,0:3,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.11,1.11,van Gerwen M. - Van der Voort V.,6:5,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.26,1.26,Wright P. - Bowles J.,6:3,European Tour 8 2013 Results & Historical Odds
05 Jan 2014,3.40,3.40,Widmayer J. - Thompson G.,3:2,BDO World Championship 2014 Results & Historical Odds
05 Jan 2014,2.77,2.77,Day M. - Head S.,3:0,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.55,2.34,Beaton S. - Gurney D.,4:6,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.12,1.12,van Barneveld R. - Gilding A.,6:3,European Tour 8 2013 Results & Historical Odds
05 Jan 2014,1.56,1.56,Robson G. - Meulenkamp R.,3:2,BDO World Championship 2014 Results & Historical Odds
05 Jan 2014,1.35,1.35,Green R. - George R.,3:0,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.60,2.27,Jenkins T. - Cullen J.,1:6,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.20,1.20,Caven J. - Langendorf M.,6:2,European Tour 8 2013 Results & Historical Odds
05 Jan 2014,7.66,1.07,Shimizu H. - Kist C.,2:3,BDO World Championship 2014 Results & Historical Odds
04 Jan 2014,1.68,2.11,de Graaf J. - Atkins M.,0:3,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.32,1.32,Newton W. - Dudbridge M.,6:1,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.06,1.06,Hamilton A. - Verkooijen D.,6:2,European Tour 8 2013 Results & Historical Odds
04 Jan 2014,2.00,1.75,Kemp H. - Meaney M.,0:3,BDO World Championship 2014 Results & Historical Odds
04 Jan 2014,2.40,2.40,Razma M. - Michael J.,3:2,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.23,4.03,Burnett R. - Vos G.,4:6,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.32,1.32,Nicholson P. - Hudson P.,6:2,European Tour 8 2013 Results & Historical Odds
04 Jan 2014,1.40,1.40,Harms W. - Jennings P.,3:0,BDO World Championship 2014 Results & Historical Odds
04 Jan 2014,5.76,1.12,Cameron D. - Adams M.,1:3,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.17,1.17,Anderson G. - Welge A.,6:4,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.08,1.08,Lewis A. - Hurtz M.,6:1,European Tour 8 2013 Results & Historical Odds
04 Jan 2014,1.26,3.68,Waites S. - Norris A.,0:3,BDO World Championship 2014 Results & Historical Odds
25 Oct 2013,1.30,1.30,White I. - Lawrence M.,6:1,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.20,1.20,King M. - Russell D.,6:3,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.17,1.17,Chisnall D. - Hopp M.,6:0,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.58,1.58,Webster M. - Artut J.,6:5,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.51,2.45,Klaasen J. - Smith R.,5:6,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.46,2.59,Smith A. - Cox M.,1:6,European Tour 8 2013 Results & Historical Odds
25 Oct 2013,1.21,1.21,Wade J. - Richardson J.,6:4,European Tour 8 2013 Results & Historical Odds
17 Jul 2019,2.22,1.64,Owen R. - Webster M.,5:6,Players Championship 20 Results & Historical Odds
17 Jul 2019,1.33,1.33,van den Bergh D. - Harrington R.,6:3,Players Championship 20 Results & Historical Odds
